user_id,amount,ts,label,amount_capped,is_weekend,rolling_7d,z_score
44,245.35,2026-01-01 00:00:00,1,245.35,False,,-0.5512976682369122
386,573.91,2026-01-01 01:00:00,1,573.91,False,,0.6146888069541466
327,213.38,2026-01-01 02:00:00,1,213.38,False,,-0.6647520985140553
219,493.48,2026-01-01 03:00:00,1,493.48,False,,0.32926059840892874
216,238.17,2026-01-01 04:00:00,1,238.17,False,,-0.5767778937417569
429,662.28,2026-01-01 05:00:00,0,662.28,False,,0.9282943122275636
42,48.04,2026-01-01 06:00:00,0,48.04,False,,-1.2515070407105784
348,102.43,2026-01-01 07:00:00,1,102.43,False,,-1.058489009344491
100,294.99,2026-01-01 08:00:00,1,294.99,False,,-0.3751363320167874
47,182.82,2026-01-01 09:00:00,1,182.82,False,,-0.7732027519162916
263,232.04,2026-01-01 10:00:00,1,232.04,False,,-0.5985319024248625
487,535.12,2026-01-01 11:00:00,1,535.12,False,,0.47703171122532656
367,227.9,2026-01-01 12:00:00,0,227.9,False,,-0.6132238430362911
380,425.32,2026-01-01 13:00:00,0,425.32,False,,0.08737589500917646
358,149.62,2026-01-01 14:00:00,0,149.62,False,,-0.8910221790417577
393,35.82,2026-01-01 15:00:00,1,35.82,False,,-1.2948731069597712
256,571.38,2026-01-01 16:00:00,1,571.38,False,,0.6057103988027182
64,1056.74,2026-01-01 17:00:00,0,1056.74,False,,2.3281452527068223
419,392.69,2026-01-01 18:00:00,0,392.69,False,,-0.028420728698774125
225,308.1,2026-01-01 19:00:00,0,308.1,False,,-0.32861185341393007
250,361.76,2026-01-01 20:00:00,1,361.76,False,,-0.13818442993343283
185,830.61,2026-01-01 21:00:00,0,830.61,False,,1.52566010042123
91,396.26,2026-01-01 22:00:00,1,396.26,False,,-0.015751591504861075
463,591.27,2026-01-01 23:00:00,0,591.27,False,,0.6762955917402338
390,572.79,2026-01-02 00:00:00,0,572.79,False,,0.6107141756776249
321,701.69,2026-01-02 01:00:00,1,701.69,False,,1.068151650270173
201,302.79,2026-01-02 02:00:00,1,302.79,False,,-0.3474558641981537
411,210.9,2026-01-02 03:00:00,1,210.9,False,,-0.6735530677692105
272,497.5,2026-01-02 04:00:00,0,497.5,False,,0.3435266856693014
221,667.49,2026-01-02 05:00:00,0,667.49,False,,0.9467834452192408
225,756.97,2026-01-02 06:00:00,0,756.97,False,,1.2643280939899249
113,900.82,2026-01-02 07:00:00,1,900.82,False,,1.7748197985681873
46,625.96,2026-01-02 08:00:00,0,625.96,False,,0.7994026979746442
277,200.91,2026-01-02 09:00:00,1,200.91,False,,-0.7090053592446144
443,392.33,2026-01-02 10:00:00,0,392.33,False,,-0.02969828875194188
31,366.31,2026-01-02 11:00:00,1,366.31,False,,-0.12203749037256317
429,336.18,2026-01-02 12:00:00,0,336.18,False,,-0.22896216926684915
413,498.23,2026-01-02 13:00:00,1,498.23,False,,0.3461172935548915
138,280.79,2026-01-02 14:00:00,1,280.79,False,,-0.4255289785584024
315,281.12,2026-01-02 15:00:00,0,281.12,False,,-0.4243578818429987
82,1099.95,2026-01-02 16:00:00,1,1099.95,False,,2.4814879468662014
379,315.58,2026-01-02 17:00:00,0,315.58,False,,-0.3020669945314457
350,698.17,2026-01-02 18:00:00,1,698.17,False,,1.055659951972533
